Finding Nemo (Franchise),Marlin,ISTJ,918
Finding Nemo (Franchise),Dory,ENFP,991
Finding Nemo (Franchise),Nemo,ESFP,445
Finding Nemo (Franchise),Gill,INTJ,420
Finding Nemo (Franchise),Hank,ISTJ,244
Finding Nemo (Franchise),Crush,ESFP,179
Finding Nemo (Franchise),Darla,ESFP,167
Finding Nemo (Franchise),Bruce,ISFP,139
Finding Nemo (Franchise),Peach,ESFJ,89
Finding Nemo (Franchise),Bloat,ESTP,81
Finding Nemo (Franchise),Nigel,ESTP,81
Finding Nemo (Franchise),Squirt,ESFP,66
Finding Nemo (Franchise),Destiny,ENFJ,59
Finding Nemo (Franchise),Gerald,INFP,66
Finding Nemo (Franchise),Coral,ISFJ,55
Finding Nemo (Franchise),Philip Sherman,ENTJ,89
Finding Nemo (Franchise),Mr. Ray,ENFJ,67
Finding Nemo (Franchise),Gurgle,ESTJ,50
Finding Nemo (Franchise),Jacques,INFP,46
Finding Nemo (Franchise),Deb,ESFJ,52
Finding Nemo (Franchise),Blue Whale,ISFP,38
Finding Nemo (Franchise),Barracuda,ISTP,46
Finding Nemo (Franchise),Bailey,ESFP,29
Finding Nemo (Franchise),Becky,INTP,24
Finding Nemo (Franchise),Pearl,INFP,18
Finding Nemo (Franchise),Chum,ESTP,19
Finding Nemo (Franchise),Anchor,ENFP,12
Finding Nemo (Franchise),Bubbles,ESFP,9
Finding Nemo (Franchise),Moonfish,ISTJ,3
Finding Nemo (Franchise),Fluke,ESTP,5
Finding Nemo (Franchise),Rudder,ENFP,1
