Megamind (2010),Megamind,ENTP,2074
Megamind (2010),Minion,ESFJ,282
Megamind (2010),Roxanne Ritchi,INFJ,515
Megamind (2010),"Wayne Scott ""Metro Man""",ESTP,486
Megamind (2010),Hal Stewart “Tighten”,ESFP,300
Megamind (2010),Bernard,ISTJ,115
Megamind (2010),Megamind-Bernard,INFP,82
Megamind (2010),Warden,ESTJ,33
Megamind (2010),Megamind's Mother,INFJ,22
Megamind (2010),Mayor,ISFJ,15
Megamind (2010),Brain Bots,ESFP,16
Megamind (2010),Mega-Megamind,ENTJ,16
Megamind (2010),Megamind's Father,ENFJ,17
Megamind (2010),Lady Sally Scott,ENFP,5
Megamind (2010),Lord Robert Scott,ISTJ,6
