name	link	movie_title	num_votes	num_comments	mbti
Donatello "Donnie"	https://www.personality-database.com/profile/74935/donatello-donnie-rise-of-the-teenage-mutant-ninja-turtles-2018-mbti-personality-type	Rise of the Teenage Mutant Ninja Turtles (2018)	514	71	ENTJ
Hunter	https://www.personality-database.com/profile/334201/hunter-the-owl-house-2020-mbti-personality-type	The Owl House (2020)	2.4k	737	ISTP
Stewie Griffin	https://www.personality-database.com/profile/1294/stewie-griffin-family-guy-1999-mbti-personality-type	Family Guy (1999)	1.5k	357	INTJ
Amity Blight	https://www.personality-database.com/profile/84408/amity-blight-the-owl-house-2020-mbti-personality-type	The Owl House (2020)	2.6k	301	ISTJ
Heather	https://www.personality-database.com/profile/8588/heather-total-drama-2007-mbti-personality-type	Total Drama (2007)	1.7k	265	ENTJ
Stanley Pines “Grunkle Stan”	https://www.personality-database.com/profile/1106/stanley-pines-grunkle-stan-gravity-falls-2012-mbti-personality-type	Gravity Falls (2012)	1.7k	118	ESTP
Stella	https://www.personality-database.com/profile/9153/stella-winx-club-2004-mbti-personality-type	Winx Club (2004)	1.3k	37	ESFP
Adora "She-Ra"	https://www.personality-database.com/profile/25086/adora-shera-shera-and-the-princesses-of-power-2018-mbti-personality-type	She-Ra and the Princesses of Power (2018)	2.2k	260	ENFJ
Chris McLean	https://www.personality-database.com/profile/8574/chris-mclean-total-drama-2007-mbti-personality-type	Total Drama (2007)	1.9k	229	ENTP
Dee	https://www.personality-database.com/profile/137003/dee-metal-family-mbti-personality-type	Metal Family	709	74	INTJ
Bee	https://www.personality-database.com/profile/25120/bee-bee-and-puppycat-2013-mbti-personality-type	Bee and PuppyCat (2013)	469	68	ENFP
Jayce Talis	https://www.personality-database.com/profile/403994/jayce-talis-arcane-2021-mbti-personality-type	Arcane (2021)	1.8k	272	ENFJ
Mel Medarda	https://www.personality-database.com/profile/403996/mel-medarda-arcane-2021-mbti-personality-type	Arcane (2021)	1.6k	158	ENTJ
Peter Griffin	https://www.personality-database.com/profile/1298/peter-griffin-family-guy-1999-mbti-personality-type	Family Guy (1999)	1.4k	466	ENTP
Musa	https://www.personality-database.com/profile/9155/musa-winx-club-2004-mbti-personality-type	Winx Club (2004)	1.4k	52	INFP
King Clawthorne	https://www.personality-database.com/profile/84406/king-clawthorne-the-owl-house-2020-mbti-personality-type	The Owl House (2020)	1.4k	98	ESFP
Lois Griffin	https://www.personality-database.com/profile/1296/lois-griffin-family-guy-1999-mbti-personality-type	Family Guy (1999)	864	62	XXXX
Dawn	https://www.personality-database.com/profile/32002/dawn-total-drama-2007-mbti-personality-type	Total Drama (2007)	947	140	INFJ
Ekko	https://www.personality-database.com/profile/417398/ekko-arcane-2021-mbti-personality-type	Arcane (2021)	952	154	ENTP
Augustus "Gus" Porter	https://www.personality-database.com/profile/84410/augustus-gus-porter-the-owl-house-2020-mbti-personality-type	The Owl House (2020)	584	58	ESFJ
Fluttershy (Equestria Girls)	https://www.personality-database.com/profile/501948/fluttershy-equestria-girls-my-little-pony-friendship-is-magic-2010-mbti-personality-type	My Little Pony: Friendship Is Magic (2010)	167	9	XXXX
Heather	https://www.personality-database.com/profile/552778/heather-my-story-animated-mbti-personality-type	My Story Animated	87	9	XXXX
Stan Marsh	https://www.personality-database.com/profile/1305/stan-marsh-south-park-1997-mbti-personality-type	South Park (1997)	2k	242	ISFP
Marcy Regina Wu	https://www.personality-database.com/profile/175193/marcy-regina-wu-amphibia-2019-mbti-personality-type	Amphibia (2019)	1.5k	250	INTP
Beth Smith	https://www.personality-database.com/profile/3190/beth-smith-rick-and-morty-2013-mbti-personality-type	Rick and Morty (2013)	900	93	ESTJ
Tecna	https://www.personality-database.com/profile/9156/tecna-winx-club-2004-mbti-personality-type	Winx Club (2004)	926	35	ISTJ
Megatron "Meg" Griffin	https://www.personality-database.com/profile/1299/megatron-meg-griffin-family-guy-1999-mbti-personality-type	Family Guy (1999)	774	150	INFP
Izzy	https://www.personality-database.com/profile/8576/izzy-total-drama-2007-mbti-personality-type	Total Drama (2007)	985	135	ENFP
Gideon Gleeful	https://www.personality-database.com/profile/1238/gideon-gleeful-gravity-falls-2012-mbti-personality-type	Gravity Falls (2012)	806	41	ENTJ
Lilith Clawthorne	https://www.personality-database.com/profile/96177/lilith-clawthorne-the-owl-house-2020-mbti-personality-type	The Owl House (2020)	952	81	ISTJ
Lindsay	https://www.personality-database.com/profile/8592/lindsay-total-drama-2007-mbti-personality-type	Total Drama (2007)	786	61	ESFJ
Lif	https://www.personality-database.com/profile/434743/lif-metal-family-mbti-personality-type	Metal Family	290	77	ISFP
Clay Puppington	https://www.personality-database.com/profile/84962/clay-puppington-moral-orel-mbti-personality-type	Moral Orel	351	50	ESTP
Leonardo "Leo"	https://www.personality-database.com/profile/74933/leonardo-leo-rise-of-the-teenage-mutant-ninja-turtles-2018-mbti-personality-type	Rise of the Teenage Mutant Ninja Turtles (2018)	184	17	ESTP
Rarity	https://www.personality-database.com/profile/1580/rarity-my-little-pony-friendship-is-magic-2010-mbti-personality-type	My Little Pony: Friendship Is Magic (2010)	2.4k	176	ENFJ
Phineas Flynn	https://www.personality-database.com/profile/2729/phineas-flynn-phineas-and-ferb-2007-mbti-personality-type	Phineas and Ferb (2007)	1.7k	223	ENTP
Princess Carolyn	https://www.personality-database.com/profile/6929/princess-carolyn-bojack-horseman-2014-mbti-personality-type	BoJack Horseman (2014)	2k	185	ENTJ
Todd Chavez	https://www.personality-database.com/profile/6930/todd-chavez-bojack-horseman-2014-mbti-personality-type	BoJack Horseman (2014)	2.1k	225	ENFP
(Doctor) Nicole Watterson	https://www.personality-database.com/profile/1761/doctor-nicole-watterson-the-amazing-world-of-gumball-2011-mbti-personality-type	The Amazing World of Gumball (2011)	1.9k	196	ENTJ
Princess Luna	https://www.personality-database.com/profile/1582/princess-luna-my-little-pony-friendship-is-magic-2010-mbti-personality-type	My Little Pony: Friendship Is Magic (2010)	1.5k	186	INTJ
