name	link	movie_title	num_votes	num_comments	mbti
Eleanor Levetan	https://www.personality-database.com/profile/529670/eleanor-levetan-do-revenge-2022-mbti-personality-type	Do Revenge (2022)	239	42	INTJ
Drea Torres	https://www.personality-database.com/profile/529669/drea-torres-do-revenge-2022-mbti-personality-type	Do Revenge (2022)	235	12	ENTJ
Gabbi Broussard	https://www.personality-database.com/profile/561506/gabbi-broussard-do-revenge-2022-mbti-personality-type	Do Revenge (2022)	107	2	XXXX
Diana	https://www.personality-database.com/profile/341586/diana-spencer-mbti-personality-type	Spencer	316	23	INFP
Josephine “Jo” March	https://www.personality-database.com/profile/77751/josephine-jo-march-little-women-2019-mbti-personality-type	Little Women (2019)	2.1k	231	ENFP
The Narrator	https://www.personality-database.com/profile/6817/the-narrator-fight-club-1999-mbti-personality-type	Fight Club (1999)	1.9k	398	ISFJ
Josephine Chesterfield	https://www.personality-database.com/profile/47873/josephine-chesterfield-the-hustle-2019-mbti-personality-type	The Hustle (2019)	122	3	ENTJ
Miriam Mendelsohn	https://www.personality-database.com/profile/429774/miriam-mendelsohn-turning-red-2022-mbti-personality-type	Turning Red (2022)	1.1k	165	ENFJ
Cher Horowitz	https://www.personality-database.com/profile/18378/cher-horowitz-clueless-1995-mbti-personality-type	Clueless (1995)	1.6k	214	ESFJ
Jennifer Check	https://www.personality-database.com/profile/126943/jennifer-check-jennifers-body-2009-mbti-personality-type	Jennifer's Body (2009)	1.4k	193	ESTP
Eddie Kaspbrak	https://www.personality-database.com/profile/16660/eddie-kaspbrak-it-2017-mbti-personality-type	It (2017)	1.1k	91	ESTJ
Tangerine	https://www.personality-database.com/profile/514541/tangerine-bullet-train-mbti-personality-type	Bullet Train	67	1	ENTP
Michael Corleone	https://www.personality-database.com/profile/4034/michael-corleone-the-godfather-1972-mbti-personality-type	The Godfather (1972)	1.6k	194	INTJ
Anger	https://www.personality-database.com/profile/862/anger-inside-out-2015-mbti-personality-type	Inside Out (2015)	1.4k	69	ESTJ
Allison Reynolds	https://www.personality-database.com/profile/2923/allison-reynolds-the-breakfast-club-1985-mbti-personality-type	The Breakfast Club (1985)	1.2k	77	ISFP
Andrew Neiman	https://www.personality-database.com/profile/14890/andrew-neiman-whiplash-2014-mbti-personality-type	Whiplash (2014)	898	193	ISFP
Otis “OJ” Haywood Jr.	https://www.personality-database.com/profile/453125/otis-oj-haywood-jr-nope-2022-mbti-personality-type	Nope (2022)	236	38	ISTP
Disgust	https://www.personality-database.com/profile/863/disgust-inside-out-2015-mbti-personality-type	Inside Out (2015)	1.7k	158	ESTP
Scar	https://www.personality-database.com/profile/865/scar-the-lion-king-franchise-mbti-personality-type	The Lion King (Franchise)	2k	359	INTJ
Mother Gothel	https://www.personality-database.com/profile/2355/mother-gothel-tangled-2010-mbti-personality-type	Tangled (2010)	1.3k	151	ESTJ
The Driver	https://www.personality-database.com/profile/16982/the-driver-drive-2011-mbti-personality-type	Drive (2011)	560	71	ISTP
Sadness	https://www.personality-database.com/profile/860/sadness-inside-out-2015-mbti-personality-type	Inside Out (2015)	1.9k	241	INFP
Ariel	https://www.personality-database.com/profile/826/ariel-the-little-mermaid-1989-mbti-personality-type	The Little Mermaid (1989)	1.9k	127	ENFP
Hiro Hamada	https://www.personality-database.com/profile/829/hiro-hamada-big-hero-6-2014-mbti-personality-type	Big Hero 6 (2014)	1.7k	231	INTP
