name	link	movie_title	num_votes	num_comments	mbti
Jennifer Walters "She-Hulk"	https://www.personality-database.com/profile/503558/-jennifer-walters-shehulk-shehulk-attorney-at-law-2022-mbti-personality-type	She-Hulk: Attorney at Law (2022)	628	41	ESTP
Wong	https://www.personality-database.com/profile/4347/wong-mcu-the-heroes-mbti-personality-type	MCU: The Heroes	301	11	ISTJ
Raven	https://www.personality-database.com/profile/2645/raven-teen-titans-2003-mbti-personality-type	Teen Titans (2003)	2.1k	173	INTJ
Bruce Wayne “Batman”	https://www.personality-database.com/profile/417034/bruce-wayne-batman-the-batman-2022-mbti-personality-type	The Batman  (2022)	2.5k	612	INTJ
Kate Bishop	https://www.personality-database.com/profile/424317/kate-bishop-hawkeye-2021-mbti-personality-type	Hawkeye (2021)	1.4k	208	ENTP
Matthew Murdock “Daredevil”	https://www.personality-database.com/profile/476/matthew-murdock-daredevil-daredevil-2015-mbti-personality-type	Daredevil (2015)	1.4k	97	INFJ
Peter Parker “Spider-Man”	https://www.personality-database.com/profile/477/peter-parker-spiderman-the-spiderman-trilogy-2002-mbti-personality-type	The Spider-Man Trilogy (2002)	1.6k	326	INFP
Starfire	https://www.personality-database.com/profile/2646/starfire-teen-titans-2003-mbti-personality-type	Teen Titans (2003)	972	46	ESFJ
Yelena Belova	https://www.personality-database.com/profile/126866/yelena-belova-mcu-the-heroes-mbti-personality-type	MCU: The Heroes	1.5k	152	ESFP
Quentin Beck “Mysterio”	https://www.personality-database.com/profile/41121/quentin-beck-mysterio-mcu-the-villains-mbti-personality-type	MCU: The Villains	1.1k	259	ENFJ
Pamela Isley “Poison Ivy”	https://www.personality-database.com/profile/73774/pamela-isley-poison-ivy-harley-quinn-2019-mbti-personality-type	Harley Quinn (2019)	603	75	INFJ
Diana Prince “Wonder Woman”	https://www.personality-database.com/profile/2441/diana-prince-wonder-woman-dc-extended-universe-mbti-personality-type	DC Extended Universe	1.1k	108	ENFJ
Barry Allen “The Flash”	https://www.personality-database.com/profile/9046/barry-allen-the-flash-dc-extended-universe-mbti-personality-type	DC Extended Universe	724	188	INFP
Mantis	https://www.personality-database.com/profile/9019/mantis-mcu-the-heroes-mbti-personality-type	MCU: The Heroes	714	48	INFP
Oswald Cobblepot “The Penguin”	https://www.personality-database.com/profile/1710/oswald-cobblepot-the-penguin-gotham-2014-mbti-personality-type	Gotham (2014)	683	119	INFP
Starfire	https://www.personality-database.com/profile/15098/starfire-teen-titans-go-2013-mbti-personality-type	Teen Titans Go! (2013)	481	33	ENFP
Druig	https://www.personality-database.com/profile/416992/druig-mcu-everyone-else-mbti-personality-type	MCU: Everyone Else	879	166	INTJ
Robin	https://www.personality-database.com/profile/2644/robin-teen-titans-2003-mbti-personality-type	Teen Titans (2003)	923	65	ISTJ
Baron Helmut Zemo	https://www.personality-database.com/profile/2689/baron-helmut-zemo-mcu-the-villains-mbti-personality-type	MCU: The Villains	782	101	INTJ
Kal-El/Clark Kent “Superman”	https://www.personality-database.com/profile/1986/kalelclark-kent-superman-dc-comics-mbti-personality-type	DC Comics	684	46	ISFJ
