TITLE,NAME,MBTI,QUOTE
DEVILSADVOCATE,JOHNMILTON,ENTJ,Sorry.    Didn't mean to... 
DEVILSADVOCATE,JOHNMILTON,ENTJ, John Milton. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,Have we been treating you well? 
DEVILSADVOCATE,JOHNMILTON,ENTJ,"Your wife, she's had a good time? "
DEVILSADVOCATE,JOHNMILTON,ENTJ,"Good. That's our secret. We kill you with kindness. (walking the room, circling) What's your secret? "
DEVILSADVOCATE,JOHNMILTON,ENTJ,You were a prosecutor. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,Sixty-four straight convictions. What a number. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,What's that like? One day you're putting them away and the next you're setting them free? 
DEVILSADVOCATE,JOHNMILTON,ENTJ,"Pays better though, doesn't it? "
DEVILSADVOCATE,JOHNMILTON,ENTJ,The math teacher. The Gettys case. I hear you were brilliant. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,Really.   So you think your guy was guilty. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,What did you say? 
DEVILSADVOCATE,JOHNMILTON,ENTJ, I was sure you had a secret. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,I love it. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,"You don't really want to go back to Florida, do you? Walk with me. "
DEVILSADVOCATE,JOHNMILTON,ENTJ,What do you think? Some people can't handle it. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,Exactly. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,She never remarried? 
DEVILSADVOCATE,JOHNMILTON,ENTJ,That can't be easy in Gainesville. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,"Little different when you're looking down, isn't it? "
DEVILSADVOCATE,JOHNMILTON,ENTJ,"'Many are in high places, and of great renown: but mysteries are revealed unto the meek.' "
DEVILSADVOCATE,JOHNMILTON,ENTJ,Didn't rub off on you?    The book? The church? 
DEVILSADVOCATE,JOHNMILTON,ENTJ,Lotta potential clients down there. (Sooner or later it all flows through the streets.) 
DEVILSADVOCATE,JOHNMILTON,ENTJ,"You like it here, don't you? "
DEVILSADVOCATE,JOHNMILTON,ENTJ,Always. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,Because our clients break the law just like everyone else and I'm tired of sending their business across the street. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,I'm thinking about it. You have the talent. I knew that before you got here. It's the other thing I wonder about. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,"Pressure. Changes everything. Some people, you squeeze them, they focus. Some people fold. Can you summon your talent at will? Can you deliver on deadline? Can you sleep at night? "
DEVILSADVOCATE,JOHNMILTON,ENTJ,Money's the easy part. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,"There you go, Kevin. The whole team. I'm trying to think how long it's been since we were all together. All of us. Too long. I'm looking around, I know some of you came from very far away to be with us here today. It's appreciated. "
DEVILSADVOCATE,JOHNMILTON,ENTJ,Wait a minute. I got it. It's perfect. It's intimate. It's quick. Doesn't cost a thing. There's a power to it. What is it? 
DEVILSADVOCATE,JOHNMILTON,ENTJ,Right now. Every person at this table -- take the hand of the person on either side... 
DEVILSADVOCATE,JOHNMILTON,ENTJ,"You want out of this, Eddie? "
DEVILSADVOCATE,JOHNMILTON,ENTJ,You won't hold hands? 
DEVILSADVOCATE,JOHNMILTON,ENTJ,"See.   See, I feel better already. "
DEVILSADVOCATE,JOHNMILTON,ENTJ," Bravo, Kevin. Bravo. "
DEVILSADVOCATE,JOHNMILTON,ENTJ,"Kevin, what can I say? "
DEVILSADVOCATE,JOHNMILTON,ENTJ,Best street food in the world. Try that. Tell me it isn't great. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,"What do you think? We're giving you away? He's paying us in goat's blood? I'm billing you out at four-hundred an hour, my friend. I don't see a whole lot of pro bono work in your immediate future. "
DEVILSADVOCATE,JOHNMILTON,ENTJ,"What are they doing? They're corporate lawyers, what do you think they're doing? They're busy reducing life and death to the proper position of a semi- colon. They're doing needlepoint. Push button battles. Push button wars. Armies that get so fucking far away from each other they need satellites to tell them who won. No pain. No sound. No smell. One big, multinational circle jerk. You, on the other hand, you're on the slaughterhouse floor. You can't help but smell your clients. "
DEVILSADVOCATE,JOHNMILTON,ENTJ,"Maybe I did. But don't get too cocky. No matter how good you are. Don't let them see you coming. That's the gaff, my friend -- make yourself small. Be the hick. The cripple. The nerd. The leper. The shit- kicking surfer. Look at me -- I've been underestimated from day one. Do I look like a master of the universe? That's your only weakness as far as I can tell. "
DEVILSADVOCATE,JOHNMILTON,ENTJ,"The look. The Florida stud thing. 'Scuse me, ma'am, did I leave my boots under your bed?' "
DEVILSADVOCATE,JOHNMILTON,ENTJ,"You know what you're missing? What I have? This beautiful girl she's just fucked me every way she knows how -- we're done -- she's walking to the bathroom -- she turns back -- and there I am. It's me. And she smiles -- it's like a veil coming down across her face -- and that smile, that's a question mark, because she's looking at me, she's wondering, how did that happen? And see, right there, from that moment on, she's got a secret. I'm the hand up Mona Lisa's skirt. I'm the whisper in Nefertitti's ear. I'm a surprise. They never see me coming. That's what you're missing. "
DEVILSADVOCATE,JOHNMILTON,ENTJ,"Because I knew it was gonna be good. Because I knew I was gonna like it. That you would shine -- that we would take this walk -- that we'd really talk. Why I came down? You want the truth? I'm an aging, hipster plutocrat. I came up from nothing. From dirt. I'm warming my hands on your talent -- "
DEVILSADVOCATE,JOHNMILTON,ENTJ, Where's the chicken? The chicken that plays tic-tac-toe. He used to be right here. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,"(back to Kevin, as they walk) There's a chicken, he's famous, he plays tic-tac-toe. He never loses. "
DEVILSADVOCATE,JOHNMILTON,ENTJ,Better a hundred guilty men go free than a single innocent be executed. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,No. Exactly like that. It's faith. You're either in or out. You can't believe a little bit. 
DEVILSADVOCATE,JOHNMILTON,ENTJ,"You're not here to amuse me. See, that's why people hate lawyers. So many of us have lost our faith. Don't let that happen to you. Token? "
DEVILSADVOCATE,JOHNMILTON,ENTJ,"Learn the subways, Kevin. Use them. Stay in the trenches. "
DEVILSADVOCATE,JOHNMILTON,ENTJ,Mary Ann? John Milton... 
DEVILSADVOCATE,JOHNMILTON,ENTJ,You'd be surprised. There's a lot more fear in this room than you'd think. 
